created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Jan 13 05:47:39 +0000 2024;1746046329883881755;"KONTRAS dg yg yakin satu putaran , kata Bung Qodari suara 03 hangus Gak salah tuh😜  @ganjarpranowo blusukan ke Pasar Pucang, Surabaya Jawa Timur  Prabowo Jalan jalan ke Lampung https://t.co/h3On80NqRr";1;12;73;187;in;1385449485472395271;1746046329883881755;RstmBcl;https://twitter.com/RstmBcl/status/1746046329883881755
Sat Jan 13 05:46:43 +0000 2024;1746046095149728119;"@h3ru_h 1. Anies: cerdas, tampan, sejak jadi mahasiswa udah jadi pimpinan organisasi kampus, ikut HMI 2. Prabowo: cerdas, tampan, sejak di militer memimpin kesatuan pasukan tempur 3. Ganjar: cerdas, tampan, sejak jadi mahasiswa aktif di organisasi GMNI  Semua capres anak terbaik bangsa.";21;65;121;1681;in;1639514300686692354;1745985049047290115;vickyelkhaer;https://twitter.com/vickyelkhaer/status/1746046095149728119
Sat Jan 13 05:46:11 +0000 2024;1746045958855819704;"Bicara Prabowo satu putaran itu hanya menutupi kepanikan untuk putaran ke 2,sebab jika sampai putaran kedua maka kemungkinan besarnya adalah KALAH Ada yg bantah ?  Silahkan komen disini👇";5;47;33;262;in;1167268507282591744;1746045958855819704;HmfaqihA;https://twitter.com/HmfaqihA/status/1746045958855819704
Sat Jan 13 05:37:40 +0000 2024;1746043815113449763;""Anies tanpa Prabowo jd apa?" (Ucap manusia² si paling all in)🤭  Eiittss, baca ini! Di tahun 2007 Anies sudah mendapatkan gelar sebagai "Rektor Termuda" dan di tahun 2009 Anies mendirikan sebuah organisasi non-pemerintah. @aniesbaswedan - He's the Founder Of INDONESIA MENGAJAR🌱 https://t.co/zqVrPGCEdN";4;3;64;128;in;1416619798478299137;1746043815113449763;PerempuanKujira;https://twitter.com/PerempuanKujira/status/1746043815113449763
Sat Jan 13 05:36:27 +0000 2024;1746043511202521160;"Omon omon kok sepi ya?  Dan omon omon lagi itu prabowo lempar baju ke siapa?   Begini mau menang satu putaran, mimpiiiiiiii 😝😂 https://t.co/KegqkWHuPW";23;54;158;449;in;154435354;1746043511202521160;ch_chotimah2;https://twitter.com/ch_chotimah2/status/1746043511202521160
Sat Jan 13 05:33:39 +0000 2024;1746042806630789516;"SIMAK Video pernyataan Ketua Umum Sahabat Ganjar Pranowo se-Indonesia yg merasa diinjak injak dan akhirnya mendukung Prabowo Gibran All In Prabowo Gibran 🤩🤘🏿 Video beginian yg perlu ditonton jangan bokep yg ditonton Orang2LELAH LihatFITNAH https://t.co/HzTCATa2Rv";7;217;166;266;in;1463823589111517191;1746042806630789516;theo12_ini;https://twitter.com/theo12_ini/status/1746042806630789516
Sat Jan 13 05:29:10 +0000 2024;1746041678014955866;"VIDEO: Khofifah Bersama Ribuan Umat NU Lampung Pengajian Akbar Ramaikan Kampanye Prabowo-Gibran https://t.co/7l48yWkcN5";17;171;56;263;in;47596019;1746041678014955866;liputan6dotcom;https://twitter.com/liputan6dotcom/status/1746041678014955866
Sat Jan 13 05:18:22 +0000 2024;1746038959048974735;"Monggo @PartaiSocmed @kurawa silahkan cebokin  soal silsilah si pengkor @prabowo ini klu kalian anggap ini gk benar";3;19;205;541;in;1682627008017350657;1746038959048974735;Resty_J_Cayah;https://twitter.com/Resty_J_Cayah/status/1746038959048974735
Sat Jan 13 05:10:00 +0000 2024;1746036853160255672;"Prabowo Ngaku Suka Makan Burger King, Netizen: Rakyat Capek-Capek Boikot Produk Israel, Dia Malah Endorse! https://t.co/mf3QOnQBK6";4;17;61;147;in;1243804423001763841;1746036853160255672;democrazymedia;https://twitter.com/democrazymedia/status/1746036853160255672
Sat Jan 13 05:02:34 +0000 2024;1746034983297507596;"Kubu Prabowo Subianto Masih Buka Jendela Komunikasi dengan PDIP https://t.co/VhTtNweOyQ #TempoNasional";210;931;123;591;in;18129942;1746034983297507596;tempodotco;https://twitter.com/tempodotco/status/1746034983297507596
